model,augment_dim,seed,geometry,budget,epochs_done,status,train_tol,eval_tol,val_acc,val_loss,dense_acc,fwd_nfe_median,fwd_nfe_q1,fwd_nfe_q3,fwd_nfe_max,recon_max,recon_mean,recon_ok,elapsed_s
NODE,0,0,circles,25,25,ok,1e-06,1e-06,0.995,0.0428089439123869,0.9894166588783264,146.0,116.0,152.0,164.0,0.0006739561213180423,0.00013027247041463852,1,52.8
NODE,0,0,circles,50,50,ok,1e-06,1e-06,1.0,0.0033139158273115753,0.9987499713897705,170.0,146.0,182.0,206.0,0.0009466524352319539,0.0001502219238318503,1,92.0
NODE,0,0,circles,100,100,ok,1e-06,1e-06,1.0,0.0007858353573828936,0.999750018119812,158.0,152.0,170.0,188.0,0.0005790086579509079,0.00012591762060765177,1,156.6
NODE,0,0,circles,200,200,ok,1e-06,1e-06,1.0,0.0001220921875210479,0.9994166493415833,182.0,176.0,188.0,206.0,0.0009746595751494169,0.0001598781964275986,1,266.6
NODE,0,0,circles,500,500,ok,1e-06,1e-06,1.0,2.622603911817123e-08,0.9985833168029785,242.0,188.0,260.0,284.0,0.0015736708883196115,0.00021842608111910522,1,682.8
NODE,0,1,circles,25,25,ok,1e-06,1e-06,0.975,0.10541871771216392,0.9866666793823242,158.0,158.0,164.0,176.0,0.0007278475095517933,0.0001684236922301352,1,70.6
NODE,0,1,circles,50,50,ok,1e-06,1e-06,0.995,0.017690657619386912,0.9964166879653931,164.0,158.0,170.0,182.0,0.0006715665222145617,0.00013871183909941465,1,136.3
NODE,0,1,circles,100,100,ok,1e-06,1e-06,0.99,0.05344023493933491,0.9961666464805603,182.0,176.0,188.0,212.0,0.0007681706338189542,0.000142898628837429,1,197.4
NODE,0,1,circles,200,200,ok,1e-06,1e-06,1.0,0.001332553350366652,0.9984166622161865,182.0,158.0,194.0,218.0,0.0010659515392035246,0.0001417708263034001,1,340.8
NODE,0,1,circles,500,500,ok,1e-06,1e-06,1.0,1.0598503140499815e-05,0.9971666932106018,206.0,194.0,215.0,236.0,0.0008039806270971894,0.00014155836834106594,1,766.2
NODE,0,2,circles,25,25,ok,1e-06,1e-06,0.96,0.1271973468363285,0.9747499823570251,170.0,164.0,188.0,212.0,0.0017644412582740188,0.00018929543148260564,1,57.9
NODE,0,2,circles,50,50,ok,1e-06,1e-06,1.0,0.006058562397956848,0.9983333349227905,170.0,158.0,188.0,212.0,0.0012355908984318376,0.00014473320334218442,1,127.4
NODE,0,2,circles,100,100,ok,1e-06,1e-06,1.0,0.0012879576766863464,0.9984166622161865,164.0,158.0,176.0,188.0,0.0006326729780994356,0.00013600673992186785,1,209.7
NODE,0,2,circles,200,200,ok,1e-06,1e-06,0.975,0.0851755341887474,0.965416669845581,266.0,254.0,272.0,290.0,0.0029109555762261152,0.00033567295758984983,1,593.4
NODE,0,2,circles,500,271,time_capped,1e-06,1e-06,0.975,0.15788520410656928,0.9652500152587891,344.0,338.0,350.0,368.0,0.0038029386196285486,0.00041870507993735373,1,1212.2
NODE,0,3,circles,25,25,ok,1e-06,1e-06,1.0,0.0038652298599481582,0.9973333477973938,212.0,179.0,242.0,254.0,0.0005881210672669113,0.00010418261081213132,1,48.2
NODE,0,3,circles,50,50,ok,1e-06,1e-06,1.0,0.003949147247476503,0.9989166855812073,176.0,152.0,194.0,224.0,0.0004338894214015454,0.00010804861813085154,1,109.9
NODE,0,3,circles,100,100,ok,1e-06,1e-06,1.0,0.000661503009905573,0.9984999895095825,182.0,164.0,200.0,230.0,0.0004532350576482713,0.00010287538316333666,1,179.1
NODE,0,3,circles,200,200,ok,1e-06,1e-06,1.0,0.00011379611929442035,0.9984999895095825,182.0,176.0,206.0,242.0,0.00038650797796435654,8.770001295488328e-05,1,309.9
NODE,0,3,circles,500,500,ok,1e-06,1e-06,1.0,6.407884864643165e-06,0.9984999895095825,200.0,185.0,224.0,266.0,0.0006502731703221798,0.00013693088840227574,1,687.8
NODE,0,4,circles,25,25,ok,1e-06,1e-06,0.995,0.27398172587156294,0.9825000166893005,164.0,152.0,173.0,188.0,0.0006361185223795474,0.00010742484300862998,1,55.2
NODE,0,4,circles,50,50,ok,1e-06,1e-06,0.99,0.05892239362001419,0.981416642665863,212.0,188.0,224.0,248.0,0.001144237001426518,0.00021434889640659094,1,155.7
NODE,0,4,circles,100,100,ok,1e-06,1e-06,0.995,0.017234867522493005,0.9983333349227905,236.0,221.0,242.0,284.0,0.0019760995637625456,0.0002439742675051093,1,312.9
