geometry,seed,epochs,tol,fwd_nfe,bwd_nfe,bwd_over_fwd,recon_max,recon_ok
spheres,0,0,0.001,14,50,3.5714285714285716,0.002049878006801009,1
spheres,0,0,0.0001,20,86,4.3,0.0011086672311648726,1
spheres,0,0,1e-05,26,278,10.692307692307692,0.000466400379082188,1
spheres,0,0,1e-06,38,1226,32.26315789473684,0.0001510291767772287,1
spheres,0,0,1e-07,74,4376,59.13513513513514,2.5252556952182204e-05,1
circles,0,0,0.001,14,56,4.0,0.002111337147653103,1
circles,0,0,0.0001,20,92,4.6,0.0009945437777787447,1
circles,0,0,1e-05,26,278,10.692307692307692,0.0005201458698138595,1
circles,0,0,1e-06,44,1334,30.318181818181817,0.00012025897012790665,1
circles,0,0,1e-07,74,5114,69.10810810810811,3.6807075957767665e-05,1
spheres,0,100,0.001,32,194,6.0625,0.532218337059021,0
spheres,0,100,0.0001,50,650,13.0,0.024608736857771873,0
spheres,0,100,1e-05,92,2426,26.369565217391305,0.005677086766809225,1
spheres,0,100,1e-06,188,9824,52.255319148936174,0.0013726898469030857,1
spheres,0,100,1e-07,446,41780,93.67713004484305,0.0002381572121521458,1
spheres,1,100,0.001,32,200,6.25,0.15713892877101898,0
spheres,1,100,0.0001,50,644,12.88,0.009411309845745564,1
spheres,1,100,1e-05,86,2546,29.6046511627907,0.0020728032104671,1
spheres,1,100,1e-06,176,9848,55.95454545454545,0.0005548426415771246,1
spheres,1,100,1e-07,446,39374,88.28251121076234,0.00014467308938037604,1
spheres,2,100,0.001,32,248,7.75,0.1973515748977661,0
spheres,2,100,0.0001,62,872,14.064516129032258,0.03075673058629036,0
spheres,2,100,1e-05,110,3584,32.58181818181818,0.0071663097478449345,1
spheres,2,100,1e-06,230,13952,60.66086956521739,0.001137210987508297,1
spheres,2,100,1e-07,638,58670,91.95924764890282,0.0002581557200755924,1
spheres,3,100,0.001,62,338,5.451612903225806,0.663600742816925,0
spheres,3,100,0.0001,74,1322,17.864864864864863,0.025238286703824997,0
spheres,3,100,1e-05,128,5240,40.9375,0.006736509967595339,1
spheres,3,100,1e-06,260,21674,83.36153846153846,0.0014581867726519704,1
spheres,3,100,1e-07,692,82094,118.63294797687861,0.0003686936688609421,1
spheres,4,100,0.001,38,224,5.894736842105263,0.4154787063598633,0
spheres,4,100,0.0001,62,884,14.258064516129032,0.011592122726142406,0
spheres,4,100,1e-05,104,3464,33.30769230769231,0.008036159910261631,1
spheres,4,100,1e-06,212,14768,69.66037735849056,0.0013173989718779922,1
spheres,4,100,1e-07,506,60188,118.94861660079052,0.0005842533428221941,1
circles,0,100,0.001,32,146,4.5625,0.11392544955015182,0
circles,0,100,0.0001,44,410,9.318181818181818,0.010852723382413387,0
circles,0,100,1e-05,80,2006,25.075,0.0043188901618123055,1
circles,0,100,1e-06,170,7712,45.36470588235294,0.0005677702138200402,1
circles,0,100,1e-07,422,32648,77.36492890995261,0.00016200606478378177,1
circles,1,100,0.001,32,260,8.125,0.1957140564918518,0
circles,1,100,0.0001,50,752,15.04,0.009635988622903824,1
circles,1,100,1e-05,104,3098,29.78846153846154,0.001809731125831604,1
circles,1,100,1e-06,194,12416,64.0,0.0005199690931476653,1
circles,1,100,1e-07,494,50720,102.67206477732793,0.00011251078831264749,1
circles,2,100,0.001,32,266,8.3125,1.2309563159942627,0
circles,2,100,0.0001,62,908,14.64516129032258,0.01795393042266369,0
circles,2,100,1e-05,104,3968,38.15384615384615,0.004264454357326031,1
circles,2,100,1e-06,194,15152,78.10309278350516,0.0021650579292327166,1
circles,2,100,1e-07,482,58184,120.71369294605809,0.00038564184796996415,1
circles,3,100,0.001,44,194,4.409090909090909,0.18143229186534882,0
circles,3,100,0.0001,68,710,10.441176470588236,0.013030827976763248,0
circles,3,100,1e-05,116,2762,23.810344827586206,0.0059411050751805305,1
circles,3,100,1e-06,236,10850,45.97457627118644,0.0014456213684752584,1
circles,3,100,1e-07,602,45200,75.08305647840531,0.0002811926824506372,1
circles,4,100,0.001,26,164,6.3076923076923075,0.14277927577495575,0
circles,4,100,0.0001,50,602,12.04,0.01905050501227379,0
circles,4,100,1e-05,80,2354,29.425,0.00371015933342278,1
circles,4,100,1e-06,158,9320,58.9873417721519,0.0010839203605428338,1
circles,4,100,1e-07,392,37868,96.60204081632654,0.0002408905711490661,1
