field,state,tol,ratio_median,recon_ok_frac,n
circles,trained,1e-07,96.60204081632654,1.0,5
circles,trained,1e-06,58.9873417721519,1.0,5
circles,trained,1e-05,29.425,1.0,5
circles,trained,0.0001,12.04,0.2,5
circles,trained,0.001,6.307692307692308,0.0,5
circles,untrained,1e-07,69.10810810810811,1.0,1
circles,untrained,1e-06,30.318181818181817,1.0,1
circles,untrained,1e-05,10.692307692307692,1.0,1
circles,untrained,0.0001,4.6,1.0,1
circles,untrained,0.001,4.0,1.0,1
mnist_conv,trained3,1e-05,104.77551020408164,1.0,1
mnist_conv,trained3,0.0001,30.464285714285715,0.0,1
mnist_conv,trained3,0.001,10.9375,0.0,1
mnist_conv,untrained,1e-05,65.15384615384616,1.0,1
mnist_conv,untrained,0.0001,21.7,1.0,1
mnist_conv,untrained,0.001,10.857142857142858,1.0,1
spheres,trained,1e-07,93.67713004484304,1.0,5
spheres,trained,1e-06,60.66086956521739,1.0,5
spheres,trained,1e-05,32.58181818181818,1.0,5
spheres,trained,0.0001,14.064516129032258,0.2,5
spheres,trained,0.001,6.0625,0.0,5
spheres,untrained,1e-07,59.13513513513514,1.0,1
spheres,untrained,1e-06,32.26315789473684,1.0,1
spheres,untrained,1e-05,10.692307692307692,1.0,1
spheres,untrained,0.0001,4.3,1.0,1
spheres,untrained,0.001,3.571428571428572,1.0,1
