field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
mnist,0,1,dopri5,0.001,0.001,1.0,38,410,10.789473684210526,0.18308798968791962,0,0.0077922106720507145,1,0.71,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,dopri5,0.001,0.1,100.0,38,98,2.5789473684210527,0.18308798968791962,0,0.03674160689115524,0,0.23,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,dopri5,1e-05,1e-05,1.0,98,11654,118.91836734693878,0.007609953638166189,1,0.0004894904559478164,1,16.91,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,dopri5,1e-05,0.001,100.0,98,398,4.061224489795919,0.007609953638166189,1,0.0006322996341623366,1,0.77,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,bosh3,0.001,0.001,1.0,50,953,19.06,0.03311964124441147,0,0.004635654389858246,1,1.68,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,bosh3,0.001,0.1,100.0,50,68,1.36,0.03311964124441147,0,0.03705824166536331,0,0.23,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,bosh3,1e-05,1e-05,1.0,194,35726,184.15463917525773,0.0010270155034959316,1,0.00025743740843608975,1,58.57,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,bosh3,1e-05,0.001,100.0,194,1016,5.237113402061856,0.0010270155034959316,1,0.0002649298694450408,1,2.12,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,scipy:LSODA,0.001,0.001,1.0,-1,-1,nan,nan,0,nan,0,0.01,1,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,scipy:LSODA,0.001,0.1,100.0,-1,-1,nan,nan,0,nan,0,0.01,1,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,scipy:LSODA,1e-05,1e-05,1.0,-1,-1,nan,nan,0,nan,0,0.0,1,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,0,1,scipy:LSODA,1e-05,0.001,100.0,-1,-1,nan,nan,0,nan,0,0.0,1,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
