field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
spheres,0,1,dopri5,0.001,0.001,1.0,44,122,2.772727272727273,0.15468774735927582,0,0.019550513476133347,0,0.06,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri5,0.001,0.1,100.0,44,44,1.0,0.15468774735927582,0,0.10328008234500885,0,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri5,1e-05,1e-05,1.0,86,1748,20.325581395348838,0.002936884993687272,1,0.0007505111279897392,1,0.58,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri5,1e-05,0.001,100.0,86,122,1.4186046511627908,0.002936884993687272,1,0.0032209581695497036,1,0.07,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri5,1e-07,1e-07,1.0,392,33212,84.72448979591837,0.00018101050227414817,1,0.0006683625397272408,1,10.63,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri5,1e-07,9.999999999999999e-06,100.0,392,1820,4.642857142857143,0.00018101050227414817,1,0.0010301235597580671,1,0.7,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri8,0.001,0.001,1.0,119,3434,28.857142857142858,0.015942832455039024,0,0.0025967226829379797,1,1.04,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri8,0.001,0.1,100.0,119,301,2.5294117647058822,0.015942832455039024,0,0.0056490530259907246,1,0.12,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri8,1e-05,1e-05,1.0,665,30149,45.33684210526316,0.0002932051429525018,1,0.0007244183216243982,1,8.87,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri8,1e-05,0.001,100.0,665,3304,4.968421052631579,0.0002932051429525018,1,0.0010858372552320361,1,1.12,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri8,1e-07,1e-07,1.0,4058,199838,49.245441103992114,1.3126361409376841e-05,1,0.0007117809727787971,1,58.55,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,dopri8,1e-07,9.999999999999999e-06,100.0,4058,28706,7.073928043371119,1.3126361409376841e-05,1,0.0007878300384618342,1,9.28,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,bosh3,0.001,0.001,1.0,38,242,6.368421052631579,0.09704486280679703,0,0.03250260278582573,0,0.1,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,bosh3,0.001,0.1,100.0,38,32,0.8421052631578947,0.09704486280679703,0,0.04592714086174965,0,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,bosh3,1e-05,1e-05,1.0,158,6407,40.550632911392405,0.004796854220330715,1,0.0018225365784019232,1,2.31,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,bosh3,1e-05,0.001,100.0,158,236,1.4936708860759493,0.004796854220330715,1,0.003144120564684272,1,0.15,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,bosh3,1e-07,1e-07,1.0,1163,49319,42.4067067927773,6.245201802812517e-05,1,0.0007233024225570261,1,17.99,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,bosh3,1e-07,9.999999999999999e-06,100.0,1163,6641,5.710232158211522,6.245201802812517e-05,1,0.0006031590164639056,1,2.93,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,adaptive_heun,0.001,0.001,1.0,48,331,6.895833333333333,0.006868811324238777,1,0.005205300636589527,1,0.22,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,adaptive_heun,0.001,0.1,100.0,48,23,0.4791666666666667,0.006868811324238777,1,0.045296311378479004,0,0.05,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,adaptive_heun,1e-05,1e-05,1.0,419,6962,16.615751789976134,2.9114244171069004e-05,1,0.0007450161501765251,1,4.11,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,adaptive_heun,1e-05,0.001,100.0,419,327,0.7804295942720764,2.9114244171069004e-05,1,0.0014880903763696551,1,0.52,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,adaptive_heun,1e-07,1e-07,1.0,4114,33893,8.238454059309674,2.4570741516072303e-05,1,0.0007136058411560953,1,21.78,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,adaptive_heun,1e-07,9.999999999999999e-06,100.0,4114,6977,1.6959163830821584,2.4570741516072303e-05,1,0.0007765975897200406,1,6.94,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:LSODA,0.001,0.001,1.0,61,917,15.032786885245901,0.012157184071838856,0,0.0061509874649345875,1,0.25,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:LSODA,0.001,0.1,100.0,61,62,1.0163934426229508,0.012157184071838856,0,0.007719829212874174,1,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:LSODA,1e-05,1e-05,1.0,355,973256,2741.5661971830987,0.0003859336138702929,1,0.0008225669153034687,1,263.62,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:LSODA,1e-05,0.001,100.0,355,17429,49.095774647887325,0.0003859336138702929,1,0.0017736052395775914,1,4.71,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:LSODA,1e-07,1e-07,1.0,2823,1171481,414.9773290825363,8.797262125881389e-06,1,0.0007148543372750282,1,312.52,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
