seed,tol,fwd_nfe_adj,mem_adjoint_mb,mem_direct_mb,grad_reldiff,recon_max,faithful,note
0,0.001,14,441.75830078125,689.26220703125,0.00449240235203055,0.004729169420897961,1,
0,0.0001,20,442.10888671875,908.00341796875,0.0028027695921952304,0.0028344965539872646,1,
0,1e-05,26,442.10888671875,1098.67041015625,0.0019316343499441487,0.001386622665449977,1,
0,1e-06,38,442.10888671875,1477.38134765625,0.0012465446201683158,0.0003947352524846792,1,
0,1e-07,92,442.10888671875,3185.19873046875,0.0004244769102917616,0.00010301866132067516,1,
1,0.001,14,442.10888671875,689.4375,0.004640845130641605,0.003833806375041604,1,
1,0.0001,20,442.10888671875,908.00341796875,0.003235682728176871,0.002785915043205023,1,
1,1e-05,26,442.10888671875,1098.67041015625,0.0020555804782528427,0.0013525101821869612,1,
1,1e-06,38,442.10888671875,1477.38134765625,0.0012978193269787713,0.00037322245771065354,1,
1,1e-07,92,442.10888671875,3185.19873046875,0.0004285831755575767,0.00010476633906364441,1,
2,0.001,14,442.10888671875,689.4375,0.004917691327027245,0.004407794214785099,1,
2,0.0001,20,442.10888671875,908.00341796875,0.003131608217723715,0.0027102038729935884,1,
2,1e-05,26,442.10888671875,1098.67041015625,0.002232179434622995,0.001294005080126226,1,
2,1e-06,38,442.10888671875,1479.30712890625,0.0014279025339900932,0.00042042587301693857,1,
2,1e-07,92,442.10888671875,3187.37451171875,0.0004892754232561012,0.00010799718438647687,1,
