tol,batch,logged_forward,backward
1e-05,0,136,42
1e-05,1,110,52
1e-05,2,124,70
1e-05,3,136,53
1e-05,4,114,54
1e-05,5,122,54
1e-05,6,118,49
1e-05,7,118,53
1e-05,8,122,50
1e-05,9,106,48
1e-05,10,112,52
1e-05,11,117,54
1e-05,12,122,54
1e-05,13,125,53
1e-05,14,119,48
1e-05,15,116,53
1e-05,16,119,46
1e-05,17,114,49
1e-05,18,109,48
1e-05,19,111,50
1e-05,20,105,40
1e-05,21,104,52
1e-05,22,110,45
1e-05,23,111,57
1e-05,24,125,48
1e-05,25,105,69
1e-05,26,141,52
1e-05,27,111,57
1e-05,28,115,49
1e-05,29,118,51
1e-05,30,115,55
1e-05,31,126,59
1e-05,32,126,50
1e-05,33,112,48
1e-05,34,111,49
1e-05,35,126,59
1e-05,36,122,49
1e-05,37,111,50
1e-05,38,119,50
1e-05,39,116,57
1e-05,40,123,54
1e-05,41,120,48
1e-05,42,111,46
1e-05,43,115,48
1e-05,44,119,54
1e-05,45,114,50
1e-05,46,108,50
1e-05,47,111,54
1e-05,48,116,46
1e-05,49,115,53
1e-05,50,114,54
1e-05,51,120,55
1e-05,52,120,54
1e-05,53,114,51
1e-05,54,119,42
1e-05,55,110,49
1e-05,56,115,41
1e-05,57,106,51
1e-05,58,113,40
1e-05,59,107,52
1e-05,60,117,74
1e-05,61,137,54
1e-05,62,115,51
1e-05,63,116,56
1e-05,64,127,52
1e-05,65,125,50
1e-05,66,119,54
1e-05,67,121,42
1e-05,68,106,50
1e-05,69,117,51
1e-05,70,112,48
1e-05,71,105,44
1e-05,72,101,44
1e-05,73,107,50
1e-05,74,120,47
1e-05,75,117,55
1e-05,76,117,49
1e-05,77,105,49
1e-05,78,119,48
1e-05,79,117,48
1e-05,80,113,50
1e-05,81,107,51
1e-05,82,116,76
1e-05,83,133,59
1e-05,84,127,55
1e-05,85,108,46
1e-05,86,117,49
1e-05,87,118,52
1e-05,88,114,46
1e-05,89,120,48
1e-05,90,117,57
1e-05,91,123,47
1e-05,92,101,40
1e-05,93,107,48
1e-05,94,117,53
1e-05,95,124,49
1e-05,96,114,48
1e-05,97,103,52
1e-05,98,116,48
1e-05,99,109,42
1e-05,100,104,48
1e-04,0,52,24
1e-04,1,58,29
1e-04,2,62,25
1e-04,3,62,25
1e-04,4,61,26
1e-04,5,60,28
1e-04,6,61,28
1e-04,7,60,24
1e-04,8,59,26
1e-04,9,56,28
1e-04,10,61,26
1e-04,11,61,29
1e-04,12,64,27
1e-04,13,60,28
1e-04,14,61,24
1e-04,15,55,27
1e-04,16,55,22
1e-04,17,58,29
1e-04,18,59,28
1e-04,19,59,26
1e-04,20,53,21
1e-04,21,53,25
1e-04,22,55,27
1e-04,23,65,28
1e-04,24,61,30
1e-04,25,60,30
1e-04,26,61,29
1e-04,27,63,23
1e-04,28,57,25
1e-04,29,54,25
1e-04,30,58,25
1e-04,31,59,24
1e-04,32,55,24
1e-04,33,53,25
1e-04,34,59,27
1e-04,35,63,30
1e-04,36,64,27
1e-04,37,56,23
1e-04,38,60,28
1e-04,39,60,28
1e-04,40,59,29
1e-04,41,60,24
1e-04,42,58,23
1e-04,43,56,24
1e-04,44,61,24
1e-04,45,55,24
1e-04,46,56,22
1e-04,47,60,25
1e-04,48,52,29
1e-04,49,65,29
1e-04,50,59,24
1e-04,51,56,27
1e-04,52,59,27
1e-04,53,56,22
1e-04,54,50,23
1e-04,55,54,25
1e-04,56,56,23
1e-04,57,59,28
1e-04,58,56,22
1e-04,59,57,27
1e-04,60,60,32
1e-04,61,65,21
1e-04,62,53,29
1e-04,63,66,29
1e-04,64,64,25
1e-04,65,60,30
1e-04,66,60,31
1e-04,67,58,26
1e-04,68,63,29
1e-04,69,62,27
1e-04,70,63,28
1e-04,71,63,22
1e-04,72,52,22
1e-04,73,55,23
1e-04,74,55,26
1e-04,75,61,28
1e-04,76,63,27
1e-04,77,62,21
1e-04,78,55,27
1e-04,79,65,29
1e-04,80,61,26
1e-04,81,54,26
1e-04,82,56,29
1e-04,83,63,28
1e-04,84,65,26
1e-04,85,54,25
1e-04,86,61,25
1e-04,87,61,25
1e-04,88,58,23
1e-04,89,61,27
1e-04,90,65,28
1e-04,91,58,28
1e-04,92,65,24
1e-04,93,61,24
1e-04,94,61,30
1e-04,95,62,24
1e-04,96,51,22
1e-04,97,50,26
1e-04,98,60,26
1e-04,99,64,23
1e-04,100,58,28
1e-03,0,36,14
1e-03,1,35,17
1e-03,2,36,16
1e-03,3,34,15
1e-03,4,36,15
1e-03,5,36,16
1e-03,6,37,15
1e-03,7,34,15
1e-03,8,35,15
1e-03,9,35,14
1e-03,10,35,14
1e-03,11,36,16
