model_name,augment_dim,seed,epochs,lr,batch_size,ode_hidden_dim,n_samples,train_tol,train_mse_at_train_tol,train_nfe_at_train_tol,eval_tol,mse,fwd_nfe,recon_rel,recon_ok,capped,hardware
NODE,0,0,50,0.001,64,32,3000,0.001,1.0001620054244995,50.0,0.001,1.0001620054244995,50.0,1.965055227279663,0,0,cpu
NODE,0,0,50,0.001,64,32,3000,0.001,1.0001620054244995,50.0,1e-05,1.0002429485321045,98.0,0.018562084063887596,0,0,cpu
NODE,0,0,50,0.001,64,32,3000,0.001,1.0001620054244995,50.0,1e-06,1.0002446174621582,146.0,0.0013986231060698628,1,0,cpu
NODE,0,0,50,0.001,64,32,3000,0.001,1.0001620054244995,50.0,1e-07,1.0002442598342896,290.0,0.00033758493373170495,1,0,cpu
NODE,0,0,50,0.001,64,32,3000,0.001,1.0001620054244995,50.0,1e-08,1.0002442598342896,680.0,0.00020714986021630466,1,0,cpu
NODE,0,0,50,0.001,64,32,3000,0.001,1.0001620054244995,50.0,1e-09,1.0002442598342896,1394.0,0.00021882167493458837,1,0,cpu
NODE,0,1,50,0.001,64,32,3000,0.001,0.9998528361320496,56.0,0.001,0.9998528361320496,56.0,2.3912739753723145,0,0,cpu
NODE,0,1,50,0.001,64,32,3000,0.001,0.9998528361320496,56.0,1e-05,1.0000711679458618,104.0,0.25596189498901367,0,0,cpu
NODE,0,1,50,0.001,64,32,3000,0.001,0.9998528361320496,56.0,1e-06,1.0000722408294678,158.0,0.004099691286683083,1,0,cpu
NODE,0,1,50,0.001,64,32,3000,0.001,0.9998528361320496,56.0,1e-07,1.0000718832015991,278.0,0.0004552962782327086,1,0,cpu
NODE,0,1,50,0.001,64,32,3000,0.001,0.9998528361320496,56.0,1e-08,1.0000718832015991,662.0,0.00038371645496226847,1,0,cpu
NODE,0,1,50,0.001,64,32,3000,0.001,0.9998528361320496,56.0,1e-09,1.0000717639923096,1370.0,0.00026409613201394677,1,0,cpu
NODE,0,2,50,0.001,64,32,3000,0.001,1.0000613927841187,50.0,0.001,1.0000613927841187,50.0,2.403857469558716,0,0,cpu
NODE,0,2,50,0.001,64,32,3000,0.001,1.0000613927841187,50.0,1e-05,1.0001330375671387,86.0,0.004433909431099892,1,0,cpu
NODE,0,2,50,0.001,64,32,3000,0.001,1.0000613927841187,50.0,1e-06,1.000131607055664,152.0,0.35509365797042847,0,0,cpu
NODE,0,2,50,0.001,64,32,3000,0.001,1.0000613927841187,50.0,1e-07,1.0001314878463745,344.0,0.0006053420947864652,1,0,cpu
NODE,0,2,50,0.001,64,32,3000,0.001,1.0000613927841187,50.0,1e-08,1.0001314878463745,686.0,0.00039951057988218963,1,0,cpu
