model,params,seed,epoch,tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,faithful_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,85316,0,1,0.001,0.001,0.86635,0.44723115924199425,0.9145,0.29235426108837126,20.58723404255319,20,0.01792999543249607,0,-0.048150000000000026,80.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,85316,0,1,0.001,1e-05,0.86635,0.44723115924199425,0.9145,0.29235426108837126,20.58723404255319,50,0.00040639907820150256,1,-0.048150000000000026,80.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,85316,0,1,0.001,1e-06,0.86635,0.44723115924199425,0.9145,0.29235426108837126,20.58723404255319,80,0.00014379115600604564,1,-0.048150000000000026,80.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,85316,0,1,0.001,1e-07,0.86635,0.44723115924199425,0.9145,0.29235426108837126,20.58723404255319,194,2.602995664346963e-05,1,-0.048150000000000026,80.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,85316,0,2,0.001,0.001,0.9146666666666666,0.2965852115869522,0.9212,0.2756141847848892,21.02127659574468,20,0.0191341582685709,0,-0.006533333333333391,85.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,85316,0,2,0.001,1e-05,0.9146666666666666,0.2965852115869522,0.9212,0.2756141847848892,21.02127659574468,44,0.0007155346102081239,1,-0.006533333333333391,85.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,85316,0,2,0.001,1e-06,0.9146666666666666,0.2965852115869522,0.9212,0.2756141847848892,21.02127659574468,86,0.00011761911446228623,1,-0.006533333333333391,85.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,85316,0,2,0.001,1e-07,0.9146666666666666,0.2965852115869522,0.9212,0.2756141847848892,21.02127659574468,218,3.7894984416197985e-05,1,-0.006533333333333391,85.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,85316,0,3,0.001,0.001,0.92115,0.27099430740674335,0.9256,0.2467010397195816,28.47659574468085,32,0.039075449109077454,0,-0.004449999999999954,89.4,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,85316,0,3,0.001,1e-05,0.92115,0.27099430740674335,0.9256,0.2467010397195816,28.47659574468085,50,0.0010499990312382579,1,-0.004449999999999954,89.4,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
