model,params,seed,epoch,tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,faithful_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s
NODE,85316,0,1,0.001,1e-05,0.8666,0.44684375027020773,0.9146,0.2910730683326721,20.638297872340427,44,0.0006157360621728003,1,-0.04799999999999993,92.6
NODE,85316,0,2,0.001,1e-05,0.91485,0.29459296667575835,0.9202,0.2746952403306961,20.43404255319149,50,0.0005737754981964827,1,-0.005349999999999966,97.3
NODE,85316,0,3,0.001,1e-05,0.9214333333333333,0.2693965492884318,0.9258,0.24474895111322403,29.24255319148936,50,0.0017583115259185433,1,-0.00436666666666663,102.9
NODE,85316,0,4,0.001,1e-05,0.9272,0.25060987611611685,0.9321,0.24904917116165162,31.872340425531913,56,0.001555132563225925,1,-0.0049000000000000155,98.5
NODE,85316,0,5,0.001,1e-05,0.92985,0.2382764784971873,0.9358,0.2245434223651886,28.374468085106383,56,0.001768743502907455,1,-0.005950000000000011,96.9
NODE,85316,0,6,0.001,1e-05,0.9348166666666666,0.22369924147923786,0.9363,0.22153180203437806,28.374468085106383,56,0.00198161113075912,1,-0.001483333333333392,92.6
NODE,85316,0,7,0.001,1e-05,0.9381,0.21220407860279084,0.9368,0.22116653738021852,30.365957446808512,68,0.006883705500513315,1,0.0013000000000000789,102.0
NODE,85316,0,8,0.001,1e-05,0.9430666666666667,0.1954165549357732,0.9453,0.19126069104671478,32.51063829787234,80,0.007122821174561977,1,-0.0022333333333333094,104.7
NODE,85316,1,1,0.001,1e-05,0.8578666666666667,0.46731106592814126,0.9116,0.30077240345478057,20.229787234042554,44,0.0006734621128998697,1,-0.0537333333333333,105.8
NODE,85316,1,2,0.001,1e-05,0.9136833333333333,0.29533181574344636,0.9232,0.2651811491727829,25.948936170212765,50,0.001241625752300024,1,-0.009516666666666729,91.5
NODE,85316,1,3,0.001,1e-05,0.9211,0.27180874393781024,0.9296,0.24586579253673554,31.872340425531913,68,0.002341218525543809,1,-0.008499999999999952,135.7
NODE,85316,1,4,0.001,1e-05,0.92475,0.25595499045054115,0.9317,0.23640849289894103,34.246808510638296,74,0.0009277882054448128,1,-0.006950000000000012,115.3
NODE,85316,1,5,0.001,1e-05,0.9294166666666667,0.2409016945362091,0.9341,0.2288547191500664,34.706382978723404,56,0.0013518182095140219,1,-0.004683333333333373,99.9
NODE,85316,1,6,0.001,1e-05,0.9339666666666666,0.22750251673857372,0.9363,0.22047014999985695,33.251063829787235,68,0.005013321992009878,1,-0.0023333333333334094,110.1
NODE,85316,1,7,0.001,1e-05,0.9381833333333334,0.21157124800682067,0.9422,0.20696030977964402,34.14468085106383,74,0.043372850865125656,0,-0.004016666666666668,131.6
NODE,85316,1,8,0.001,1e-05,0.94505,0.18948836317062379,0.9464,0.1910525642454624,40.11914893617021,86,0.33452072739601135,0,-0.0013500000000000734,151.2
NODE,85316,2,1,0.001,1e-05,0.8676666666666667,0.4416490173180898,0.9097,0.31335400478839875,20.485106382978724,50,0.0005576088442467153,1,-0.042033333333333256,150.2
NODE,85316,2,2,0.001,1e-05,0.9144333333333333,0.2920109108130137,0.9232,0.2600100166797638,27.27659574468085,56,0.0010615292703732848,1,-0.0087666666666667,111.9
NODE,85316,2,3,0.001,1e-05,0.92125,0.26678024611473083,0.926,0.24385110065937043,29.982978723404255,50,0.0012043840251863003,1,-0.004750000000000032,92.5
NODE,85316,2,4,0.001,1e-05,0.9266833333333333,0.24878875981171925,0.9324,0.228561235499382,32.791489361702126,62,0.0008090933552011847,1,-0.005716666666666703,186.8
NODE,85316,2,5,0.001,1e-05,0.9297166666666666,0.23702462001641592,0.9394,0.219599229490757,41.753191489361704,68,0.0031089321710169315,1,-0.009683333333333377,112.8
NODE,85316,2,6,0.001,1e-05,0.9340666666666667,0.22445198049545287,0.9327,0.22333703141212463,43.770212765957446,86,0.00928944069892168,1,0.0013666666666667382,111.1
NODE,85316,2,7,0.001,1e-05,0.9387833333333333,0.20765208025773366,0.9381,0.21442917995452881,48.00851063829787,92,0.06491170078516006,0,0.0006833333333332581,130.6
NODE,85316,2,8,0.001,1e-05,0.9435166666666667,0.19112481118837993,0.9472,0.18360461715459825,49.08085106382979,86,0.046890269964933395,0,-0.0036833333333333718,262.2
NODE,85316,3,1,0.001,1e-05,0.869,0.4323536588827769,0.9126,0.30398005366325376,24.953191489361704,56,0.0007501096115447581,1,-0.04359999999999997,138.2
NODE,85316,3,2,0.001,1e-05,0.9127666666666666,0.29688166716893516,0.9156,0.28638296554088594,25.080851063829787,50,0.0005888229934498668,1,-0.0028333333333333544,99.8
NODE,85316,3,3,0.001,1e-05,0.92045,0.2694013601303101,0.9291,0.24666737333536148,26.0,56,0.000999737298116088,1,-0.008650000000000047,89.7
NODE,85316,3,4,0.001,1e-05,0.9266166666666666,0.2500320785522461,0.9345,0.23027763798236847,26.0,62,0.0018084250623360276,1,-0.007883333333333353,100.4
NODE,85316,3,5,0.001,1e-05,0.9314666666666667,0.23463727722167968,0.9402,0.21405846790075303,26.33191489361702,62,0.0022154380567371845,1,-0.00873333333333337,110.8
NODE,85316,3,6,0.001,1e-05,0.9373166666666667,0.21626499155362447,0.9438,0.2113068408370018,30.46808510638298,74,0.005423078779131174,1,-0.006483333333333285,114.6
NODE,85316,3,7,0.001,1e-05,0.9418166666666666,0.2004310170094172,0.9349,0.21469312975406646,32.0,74,0.0035759659949690104,1,0.006916666666666682,113.2
NODE,85316,3,8,0.001,1e-05,0.9474333333333333,0.18439490171273548,0.937,0.21892587949484588,32.229787234042554,86,0.009201165288686752,1,0.010433333333333294,121.9
NODE,85316,4,1,0.001,1e-05,0.8513666666666667,0.4989656632741292,0.9122,0.2945852224111557,20.127659574468087,50,0.0004571120080072433,1,-0.060833333333333295,89.0
NODE,85316,4,2,0.001,1e-05,0.9129833333333334,0.293814896885554,0.9214,0.27679006762504577,20.33191489361702,50,0.0006223175441846251,1,-0.008416666666666628,94.1
NODE,85316,4,3,0.001,1e-05,0.9201666666666667,0.27130153505802157,0.9272,0.25175197975635527,20.842553191489362,44,0.0011675521964207292,1,-0.007033333333333336,145.3
NODE,85316,4,4,0.001,1e-05,0.9253,0.2568917785167694,0.9303,0.24456356458663941,24.314893617021276,56,0.0014637158019468188,1,-0.0050000000000000044,112.0
NODE,85316,4,5,0.001,1e-05,0.9284166666666667,0.2448387450695038,0.93,0.23457866525650026,27.761702127659575,56,0.0033419642131775618,1,-0.001583333333333381,93.8
NODE,85316,4,6,0.001,1e-05,0.9312666666666667,0.23480794231096905,0.9329,0.22696857237815857,27.148936170212767,56,0.008198133669793606,1,-0.0016333333333332645,136.6
NODE,85316,4,7,0.001,1e-05,0.9348,0.2240406338850657,0.9366,0.2260367297410965,27.148936170212767,56,0.013213702477514744,0,-0.0018000000000000238,85.9
NODE,85316,4,8,0.001,1e-05,0.93735,0.21499804340998332,0.9401,0.20874653925299644,26.561702127659576,68,0.016837717965245247,0,-0.00275000000000003,84.0
ANODE-p5,85462,0,1,0.001,1e-05,0.8739,0.44814572478930154,0.9268,0.26142124750614165,19.846808510638297,38,0.0006600236520171165,1,-0.05289999999999995,44.9
ANODE-p5,85462,0,2,0.001,1e-05,0.9352833333333334,0.22627165931065876,0.9411,0.2037970831990242,20.0,38,0.0026133337523788214,1,-0.005816666666666692,97.3
ANODE-p5,85462,0,3,0.001,1e-05,0.95595,0.15194613890647887,0.9632,0.1148968550644815,20.0,38,0.0013311479706317186,1,-0.007249999999999979,140.4
ANODE-p5,85462,0,4,0.001,1e-05,0.9693666666666667,0.10350002233982086,0.9713,0.08962992579042911,20.0,44,0.0014818547060713172,1,-0.0019333333333333425,146.8
ANODE-p5,85462,0,5,0.001,1e-05,0.9760666666666666,0.08084028176863989,0.9753,0.07627186429947615,20.0,44,0.001969029428437352,1,0.0007666666666666933,148.7
ANODE-p5,85462,0,6,0.001,1e-05,0.98025,0.06559481692711512,0.9762,0.07103614620640875,20.0,44,0.0017901378450915217,1,0.004049999999999998,149.4
ANODE-p5,85462,0,7,0.001,1e-05,0.9834833333333334,0.05410031468669573,0.9803,0.06346001372295432,20.0,44,0.0020927242003381252,1,0.003183333333333427,152.2
ANODE-p5,85462,0,8,0.001,1e-05,0.9860166666666667,0.04693956125378609,0.9788,0.0709082966811955,20.102127659574467,50,0.0024620438925921917,1,0.007216666666666649,150.8
ANODE-p5,85462,1,1,0.001,1e-05,0.8746,0.43086649518013,0.9261,0.255674953854084,19.897872340425533,38,0.0010621306719258428,1,-0.05149999999999999,139.9
ANODE-p5,85462,1,2,0.001,1e-05,0.9383,0.21471092714866002,0.9509,0.17368129039406777,20.0,38,0.0012171973939985037,1,-0.012599999999999945,159.0
ANODE-p5,85462,1,3,0.001,1e-05,0.9598666666666666,0.13683060659567514,0.9721,0.09453312337398528,20.0,44,0.001728901988826692,1,-0.012233333333333318,151.3
ANODE-p5,85462,1,4,0.001,1e-05,0.9748,0.08561402134299279,0.9753,0.0787707027003169,20.0,44,0.0017576264217495918,1,-0.0004999999999999449,147.3
ANODE-p5,85462,1,5,0.001,1e-05,0.9802166666666666,0.06613888742923736,0.9756,0.07579397730529308,20.025531914893616,44,0.0017494210042059422,1,0.004616666666666602,149.0
ANODE-p5,85462,1,6,0.001,1e-05,0.9827166666666667,0.05664712393681208,0.9786,0.06893707480896265,22.451063829787234,56,0.0019409414380788803,1,0.004116666666666657,159.0
ANODE-p5,85462,1,7,0.001,1e-05,0.9841166666666666,0.05100559243361155,0.9802,0.07181491034254432,25.642553191489363,56,0.0018742469837889075,1,0.003916666666666679,167.3
ANODE-p5,85462,1,8,0.001,1e-05,0.9862166666666666,0.044092032951116564,0.9818,0.06066317445104942,26.102127659574467,50,0.002257872372865677,1,0.004416666666666624,175.0
ANODE-p5,85462,2,1,0.001,1e-05,0.8807,0.4230273762623469,0.9252,0.26441332166194914,19.795744680851065,38,0.0015244694659486413,1,-0.044499999999999984,171.4
ANODE-p5,85462,2,2,0.001,1e-05,0.9405666666666667,0.20759121697743735,0.9589,0.142908645260334,20.0,44,0.0022744284942746162,1,-0.018333333333333313,194.9
ANODE-p5,85462,2,3,0.001,1e-05,0.9676166666666667,0.1095169801513354,0.9728,0.09450639827251435,20.0,44,0.0018325683195143938,1,-0.005183333333333318,198.1
ANODE-p5,85462,2,4,0.001,1e-05,0.9751,0.08137939906418323,0.9738,0.07747701692953705,20.0,44,0.0012771711917594075,1,0.0012999999999999678,181.2
ANODE-p5,85462,2,5,0.001,1e-05,0.9784333333333334,0.06994569737116496,0.9767,0.07146643886119128,24.621276595744682,44,0.00201269518584013,1,0.0017333333333333645,208.2
ANODE-p5,85462,2,6,0.001,1e-05,0.9818166666666667,0.059414316181341804,0.9796,0.0630485015079379,25.693617021276594,50,0.0019755284301936626,1,0.0022166666666666446,176.4
ANODE-p5,85462,2,7,0.001,1e-05,0.9844,0.05094983320037524,0.9814,0.057946440017595885,26.0,50,0.004165558610111475,1,0.0030000000000000027,122.3
ANODE-p5,85462,2,8,0.001,1e-05,0.9858833333333333,0.04513681569720308,0.9819,0.06292995505798608,26.0,50,0.0027152718976140022,1,0.003983333333333339,110.5
ANODE-p5,85462,3,1,0.001,1e-05,0.8735166666666667,0.446066087992986,0.9183,0.288735831618309,20.0,38,0.0008840523660182953,1,-0.044783333333333286,110.6
ANODE-p5,85462,3,2,0.001,1e-05,0.93705,0.21940661005973816,0.9643,0.1187757237687707,21.302127659574467,56,0.0029181605204939842,1,-0.027249999999999996,132.5
ANODE-p5,85462,3,3,0.001,1e-05,0.9672833333333334,0.11204106280008952,0.9725,0.0888300529666245,20.0,44,0.003255115356296301,1,-0.005216666666666647,133.9
ANODE-p5,85462,3,4,0.001,1e-05,0.9755833333333334,0.0824443161646525,0.9758,0.07640402959510684,20.0,44,0.0037497549783438444,1,-0.0002166666666666428,135.1
ANODE-p5,85462,3,5,0.001,1e-05,0.9786,0.07116285453836123,0.9767,0.0759056474506855,20.0,44,0.0037907178048044443,1,0.0019000000000000128,137.0
ANODE-p5,85462,3,6,0.001,1e-05,0.9814166666666667,0.06099606577555339,0.9794,0.06358907063156366,20.025531914893616,50,0.0036170880775898695,1,0.0020166666666666666,138.7
ANODE-p5,85462,3,7,0.001,1e-05,0.9835833333333334,0.05343964213728905,0.9789,0.06595126645341516,20.0,50,0.0033394780475646257,1,0.004683333333333373,151.5
ANODE-p5,85462,3,8,0.001,1e-05,0.9857166666666667,0.045443594539165494,0.9754,0.08227258694767951,20.25531914893617,50,0.002341559622436762,1,0.01031666666666664,154.7
ANODE-p5,85462,4,1,0.001,1e-05,0.8737833333333334,0.4446968599239985,0.9367,0.23015441077947615,19.897872340425533,38,0.0013200048124417663,1,-0.06291666666666662,135.0
ANODE-p5,85462,4,2,0.001,1e-05,0.94355,0.19188120112021764,0.9572,0.13673499469161032,20.0,44,0.002197415102273226,1,-0.013650000000000051,139.3
ANODE-p5,85462,4,3,0.001,1e-05,0.9672166666666666,0.10993459854324658,0.974,0.08336556014753878,20.0,44,0.003379672998562455,1,-0.006783333333333363,138.1
ANODE-p5,85462,4,4,0.001,1e-05,0.97725,0.07591925793886185,0.9781,0.06741634817235172,20.0,50,0.0021614120341837406,1,-0.0008500000000000174,143.0
ANODE-p5,85462,4,5,0.001,1e-05,0.9818166666666667,0.061131499592463175,0.9792,0.05997036010157317,20.740425531914894,50,0.002845676615834236,1,0.0026166666666667115,183.4
ANODE-p5,85462,4,6,0.001,1e-05,0.9838833333333333,0.052568661465247475,0.9825,0.057211165007855745,23.42127659574468,50,0.0038518619257956743,1,0.001383333333333292,202.1
ANODE-p5,85462,4,7,0.001,1e-05,0.9868,0.04171347002983093,0.9825,0.05711023208349943,25.387234042553192,50,0.0033989674411714077,1,0.0042999999999999705,190.6
ANODE-p5,85462,4,8,0.001,1e-05,0.9875833333333334,0.03883828765352567,0.9823,0.0560791013462469,26.0,50,0.004774771630764008,1,0.005283333333333418,185.4
