model,seed,epoch,eval_tol,fwd_nfe,recon_rel,recon_ok,capped
NODE,0,1,1e-05,44,0.0006157360621728003,1,0
NODE,0,1,1e-06,74,0.00012321790563873947,1,0
NODE,0,1,1e-07,206,2.5705790903884917e-05,1,0
NODE,0,2,1e-05,50,0.0005737754981964827,1,0
NODE,0,2,1e-06,92,0.00016728976333979517,1,0
NODE,0,2,1e-07,230,3.655502223409712e-05,1,0
NODE,0,3,1e-05,50,0.0017583115259185433,1,0
NODE,0,3,1e-06,104,0.0002190853119827807,1,0
NODE,0,3,1e-07,236,3.920908784493804e-05,1,0
NODE,0,4,1e-05,56,0.001555132563225925,1,0
NODE,0,4,1e-06,110,0.00020071520702913404,1,0
NODE,0,4,1e-07,278,4.862571586272679e-05,1,0
NODE,0,5,1e-05,56,0.001768743502907455,1,0
NODE,0,5,1e-06,116,0.00037899051676504314,1,0
NODE,0,5,1e-07,290,7.350827945629135e-05,1,0
NODE,0,6,1e-05,56,0.00198161113075912,1,0
NODE,0,6,1e-06,122,0.0004223856667522341,1,0
NODE,0,6,1e-07,314,0.00010929825657512993,1,0
NODE,0,7,1e-05,68,0.006883705500513315,1,0
NODE,0,7,1e-06,128,0.000857821898534894,1,0
NODE,0,7,1e-07,380,0.00021221415954641998,1,0
NODE,0,8,1e-05,80,0.007122821174561977,1,0
NODE,0,8,1e-06,140,0.0013237209059298038,1,0
NODE,0,8,1e-07,428,0.00035709358053281903,1,0
NODE,1,1,1e-05,44,0.0006734621128998697,1,0
NODE,1,1,1e-06,92,0.00013820356980431825,1,0
NODE,1,1,1e-07,230,2.4502878659404814e-05,1,0
NODE,1,2,1e-05,50,0.001241625752300024,1,0
NODE,1,2,1e-06,104,0.0001228756591444835,1,0
NODE,1,2,1e-07,272,2.983925696753431e-05,1,0
NODE,1,3,1e-05,68,0.002341218525543809,1,0
NODE,1,3,1e-06,104,0.00017393137386534363,1,0
NODE,1,3,1e-07,284,4.9749858590075746e-05,1,0
NODE,1,4,1e-05,74,0.0009277882054448128,1,0
NODE,1,4,1e-06,122,0.0005318949115462601,1,0
NODE,1,4,1e-07,296,9.680324728833511e-05,1,0
NODE,1,5,1e-05,56,0.0013518182095140219,1,0
NODE,1,5,1e-06,110,0.0002782370720524341,1,0
NODE,1,5,1e-07,326,0.0001173712735180743,1,0
NODE,1,6,1e-05,68,0.005013321992009878,1,0
NODE,1,6,1e-06,140,0.001443393062800169,1,0
NODE,1,6,1e-07,374,0.0004466912359930575,1,0
NODE,1,7,1e-05,74,0.043372850865125656,0,0
NODE,1,7,1e-06,146,0.006643675267696381,1,0
NODE,1,7,1e-07,524,0.0016918334877118468,1,0
NODE,1,8,1e-05,86,0.33452072739601135,0,0
NODE,1,8,1e-06,170,0.04458487778902054,0,0
NODE,1,8,1e-07,542,0.009555218741297722,1,0
NODE,2,1,1e-05,50,0.0005576088442467153,1,0
NODE,2,1,1e-06,86,0.00011703363270498812,1,0
NODE,2,1,1e-07,260,2.221059548901394e-05,1,0
NODE,2,2,1e-05,56,0.0010615292703732848,1,0
