model,params,seed,epoch,tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,faithful_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,85316,1,1,0.001,0.001,0.8578666666666667,0.46731106592814126,0.9116,0.30077240345478057,20.229787234042554,20,0.01610906608402729,0,-0.0537333333333333,86.2,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,1,0.001,1e-05,0.8578666666666667,0.46731106592814126,0.9116,0.30077240345478057,20.229787234042554,44,0.0006734621128998697,1,-0.0537333333333333,86.2,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,1,0.001,1e-06,0.8578666666666667,0.46731106592814126,0.9116,0.30077240345478057,20.229787234042554,92,0.00013820356980431825,1,-0.0537333333333333,86.2,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,1,0.001,1e-07,0.8578666666666667,0.46731106592814126,0.9116,0.30077240345478057,20.229787234042554,230,2.4502878659404814e-05,1,-0.0537333333333333,86.2,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,2,0.001,0.001,0.9136833333333333,0.29533181574344636,0.9232,0.2651811491727829,25.948936170212765,32,0.009646282531321049,1,-0.009516666666666729,93.4,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,2,0.001,1e-05,0.9136833333333333,0.29533181574344636,0.9232,0.2651811491727829,25.948936170212765,50,0.001241625752300024,1,-0.009516666666666729,93.4,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,2,0.001,1e-06,0.9136833333333333,0.29533181574344636,0.9232,0.2651811491727829,25.948936170212765,104,0.0001228756591444835,1,-0.009516666666666729,93.4,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,2,0.001,1e-07,0.9136833333333333,0.29533181574344636,0.9232,0.2651811491727829,25.948936170212765,272,2.983925696753431e-05,1,-0.009516666666666729,93.4,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,3,0.001,0.001,0.9211,0.27180874393781024,0.9296,0.24586579253673554,31.872340425531913,32,0.03379780054092407,0,-0.008499999999999952,86.9,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,1,3,0.001,1e-05,0.9211,0.27180874393781024,0.9296,0.24586579253673554,31.872340425531913,68,0.002341218525543809,1,-0.008499999999999952,86.9,nan,nan,NVIDIA GeForce RTX 3090
