model,params,seed,epoch,train_tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,eval_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,173611,0,1,0.001,0.001,0.37616,1.7713913040161133,0.414,1.6645261388778687,19.96938775510204,20,0.008846142329275608,1,-0.037839999999999985,136.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,1,0.001,1e-05,0.37616,1.7713913040161133,0.414,1.6645261388778687,19.96938775510204,38,0.000635166245047003,1,-0.037839999999999985,136.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,1,0.001,1e-06,0.37616,1.7713913040161133,0.414,1.6645261388778687,19.96938775510204,62,0.00013484872761182487,1,-0.037839999999999985,136.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,1,0.001,1e-07,0.37616,1.7713913040161133,0.414,1.6645261388778687,19.96938775510204,122,1.5188934412435628e-05,1,-0.037839999999999985,136.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,2,0.001,0.001,0.44166,1.5972745428466797,0.4456,1.572211081123352,20.0,20,0.012841451913118362,0,-0.003939999999999999,166.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,2,0.001,1e-05,0.44166,1.5972745428466797,0.4456,1.572211081123352,20.0,38,0.0006862069712951779,1,-0.003939999999999999,166.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,2,0.001,1e-06,0.44166,1.5972745428466797,0.4456,1.572211081123352,20.0,68,0.0001167880545835942,1,-0.003939999999999999,166.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,2,0.001,1e-07,0.44166,1.5972745428466797,0.4456,1.572211081123352,20.0,152,1.8087179341819137e-05,1,-0.003939999999999999,166.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,3,0.001,0.001,0.47152,1.4854725603485108,0.4712,1.4673011838912964,20.0,20,0.013439900241792202,0,0.00031999999999998696,166.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,3,0.001,1e-05,0.47152,1.4854725603485108,0.4712,1.4673011838912964,20.0,38,0.0006414999952539802,1,0.00031999999999998696,166.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,3,0.001,1e-06,0.47152,1.4854725603485108,0.4712,1.4673011838912964,20.0,74,0.00012465663894545287,1,0.00031999999999998696,166.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,3,0.001,1e-07,0.47152,1.4854725603485108,0.4712,1.4673011838912964,20.0,164,1.5793661077623256e-05,1,0.00031999999999998696,166.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,4,0.001,0.001,0.49612,1.4185258164596557,0.478,1.4485049840927124,20.0,20,0.047523099929094315,0,0.018120000000000025,171.5,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,4,0.001,1e-05,0.49612,1.4185258164596557,0.478,1.4485049840927124,20.0,44,0.0007431450067088008,1,0.018120000000000025,171.5,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,4,0.001,1e-06,0.49612,1.4185258164596557,0.478,1.4485049840927124,20.0,86,0.0001032497821142897,1,0.018120000000000025,171.5,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,0,4,0.001,1e-07,0.49612,1.4185258164596557,0.478,1.4485049840927124,20.0,182,2.0886185666313395e-05,1,0.018120000000000025,171.5,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
