geometry,stem,head,seed,epochs_completed,status,val_accuracy,val_loss,final_fwd_nfe,final_bwd_nfe,peak_fwd_nfe,max_num_steps
circles,stem,linear,0,150,converged,0.995,0.021094789020717142,68.0,63.84615384615385,76.3076923076923,1500
circles,stem,linear,1,150,converged,0.98,0.06111950874328613,38.46153846153846,55.53846153846154,49.53846153846154,1500
circles,stem,linear,2,150,converged,0.915,0.20725224614143373,72.61538461538461,94.3076923076923,76.76923076923077,1500
circles,stem,linear,3,150,converged,0.885,0.2716510725021362,45.38461538461539,82.3076923076923,46.30769230769231,1500
circles,stem,linear,4,150,converged,1.0,0.045174154937267307,40.30769230769231,58.76923076923077,50.92307692307692,1500
circles,no-stem,linear,0,150,converged,1.0,0.005180213637650013,44.0,60.61538461538461,44.92307692307692,1500
circles,no-stem,linear,1,150,converged,1.0,1.4800129483774072e-05,37.07692307692308,47.69230769230769,37.53846153846154,1500
circles,no-stem,linear,2,150,converged,0.965,0.1785561114549637,49.53846153846154,73.53846153846153,51.84615384615385,1500
circles,no-stem,linear,3,150,converged,0.995,0.0036473283362283837,35.23076923076923,50.0,36.61538461538461,1500
circles,no-stem,linear,4,150,converged,0.995,0.03563424225896597,63.38461538461539,74.0,73.53846153846153,1500
spheres,stem,linear,0,150,converged,1.0,0.0020982778320709863,63.2,70.0,69.6,1500
spheres,stem,linear,1,150,converged,0.85,0.2926154593626658,32.0,56.4,32.0,1500
spheres,stem,linear,2,150,converged,1.0,0.008122272385905186,42.0,48.4,44.8,1500
spheres,stem,linear,3,150,converged,0.9916666666666667,0.03831505725781123,54.8,72.8,57.6,1500
spheres,stem,linear,4,150,converged,0.9875,0.04213177375495434,36.4,49.2,51.2,1500
spheres,no-stem,linear,0,150,converged,1.0,0.001161262090317905,52.0,62.0,54.8,1500
spheres,no-stem,linear,1,150,converged,1.0,3.5527134726483686e-05,32.4,40.4,34.0,1500
spheres,no-stem,linear,2,150,converged,1.0,0.005325765147184332,66.0,76.4,70.0,1500
spheres,no-stem,linear,3,150,converged,1.0,0.0002941284910775721,42.4,53.6,42.4,1500
spheres,no-stem,linear,4,150,converged,0.9916666666666667,0.03744836647529155,37.2,50.4,40.8,1500
spheres,no-stem,mlp,0,150,converged,0.9958333333333333,0.026996401727713722,28.4,38.0,28.8,1500
spheres,no-stem,mlp,1,150,converged,1.0,0.0016852091904487074,30.4,41.2,32.0,1500
spheres,no-stem,mlp,2,150,converged,1.0,7.514908623610003e-05,32.0,45.2,34.8,1500
spheres,no-stem,mlp,3,150,converged,1.0,8.31941535579972e-05,32.0,41.2,32.4,1500
spheres,no-stem,mlp,4,150,converged,1.0,0.00015316768525129495,32.8,44.4,34.0,1500
