seed,epoch,tol,eval_tol,train_fwd_nfe,train_bwd_nfe,faithful_fwd_nfe,test_acc,recon_rel,recon_ok,epoch_s
0,1,0.001,1e-05,25.29637526652452,31.37313432835821,80,0.7044,0.0019196144188948184,1,170.6
0,2,0.001,1e-05,26.230277185501066,38.511727078891255,98,0.8757,0.004508022443562945,1,201.2
0,3,0.001,1e-05,35.46695095948827,43.46268656716418,104,0.886,0.005368705811288665,1,235.5
0,4,0.001,1e-05,38.0,44.166311300639656,110,0.9248,0.009187824802932242,1,242.7
0,5,0.001,1e-05,38.0,44.11513859275053,104,0.9312,0.013273802683492753,0,243.6
0,6,0.001,1e-05,38.0,44.03837953091684,116,0.9335,0.008659976426779103,1,242.3
0,7,0.001,1e-05,37.92324093816631,44.0,110,0.9432,0.009174814725097383,1,243.0
0,8,0.001,1e-05,37.13006396588486,44.0,116,0.9512,0.014178988948440895,0,241.2
0,9,0.001,1e-05,35.07036247334755,44.0,116,0.9672,0.012837590356485946,0,237.7
0,10,0.001,1e-05,33.95735607675906,44.0,122,0.9405,0.016567439942527254,0,236.4
1,1,0.001,1e-05,26.97228144989339,32.06396588486141,92,0.6975,0.0025200988644785193,1,177.4
1,2,0.001,1e-05,35.569296375266525,43.360341151385924,98,0.8469,0.0067369164409062906,1,234.4
1,3,0.001,1e-05,40.53304904051173,44.24307036247335,116,0.9027,0.007400222118818825,1,247.3
1,4,0.001,1e-05,39.18976545842217,44.6908315565032,122,0.9291,0.010876666142232443,0,247.3
1,5,0.001,1e-05,38.42217484008529,46.136460554371006,116,0.9488,0.013075728035292696,0,251.3
1,6,0.001,1e-05,38.0,45.714285714285715,128,0.9497,0.011184326049693159,0,249.8
1,7,0.001,1e-05,38.0,44.43496801705757,122,0.9571,0.011874151562297382,0,243.8
1,8,0.001,1e-05,38.0,44.38379530916844,122,0.9582,0.010724547783302507,0,244.3
1,9,0.001,1e-05,38.0,44.204690831556505,122,0.9617,0.010928103743397208,0,243.6
1,10,0.001,1e-05,38.0,44.33262260127932,122,0.9698,0.010225387292612659,0,244.5
2,1,0.001,1e-05,24.84861407249467,30.32409381663113,68,0.6767,0.0017706406514241423,1,166.9
2,2,0.001,1e-05,27.637526652452024,37.1044776119403,92,0.8642,0.00523481019891857,1,197.0
2,3,0.001,1e-05,37.94882729211088,42.695095948827294,104,0.9187,0.007785348017135323,1,235.6
2,4,0.001,1e-05,36.669509594882726,44.0,104,0.9336,0.021117306242815093,0,239.0
2,5,0.001,1e-05,32.985074626865675,44.0,110,0.9624,0.018543476942682824,0,233.7
2,6,0.001,1e-05,32.01279317697228,44.0,116,0.9683,0.020025250015456318,0,232.4
2,7,0.001,1e-05,32.0,44.0,116,0.973,0.012761732247819518,0,232.4
2,8,0.001,1e-05,32.0,44.0,116,0.9655,0.02738150622549144,0,232.4
2,9,0.001,1e-05,34.481876332622605,44.0,116,0.9744,0.03790472547707757,0,226.9
2,10,0.001,1e-05,39.86780383795309,44.0,122,0.9758,0.025763528382280246,0,220.9
3,1,0.001,1e-05,25.20682302771855,30.69509594882729,80,0.7632,0.0027748593944955002,1,150.6
3,2,0.001,1e-05,29.1727078891258,38.06396588486141,92,0.8937,0.005435157811327561,1,183.1
3,3,0.001,1e-05,37.92324093816631,41.09594882729211,98,0.926,0.005459000935702983,1,206.1
3,4,0.001,1e-05,37.89765458422175,46.046908315565034,104,0.9376,0.006791709135276058,1,223.3
3,5,0.001,1e-05,38.0,45.39445628997868,116,0.9457,0.008041414492035572,1,221.5
3,6,0.001,1e-05,37.66737739872068,44.28144989339019,110,0.9611,0.014182529941282027,0,217.7
3,7,0.001,1e-05,35.223880597014926,44.191897654584224,122,0.969,0.01406596057889348,0,214.4
3,8,0.001,1e-05,32.74200426439232,44.01279317697228,116,0.9716,0.015070021727930233,0,210.6
3,9,0.001,1e-05,32.0,44.01279317697228,116,0.9696,0.011116521166940715,0,209.6
3,10,0.001,1e-05,32.0,44.0,116,0.9792,0.01323097928583573,0,209.6
4,1,0.001,1e-05,24.631130063965884,30.631130063965884,74,0.6832,0.0016509964106370442,1,148.7
4,2,0.001,1e-05,26.61407249466951,38.95948827292111,80,0.8706,0.003050548212030243,1,181.9
4,3,0.001,1e-05,31.936034115138593,38.30703624733476,86,0.9155,0.004469273670503781,1,188.8
4,4,0.001,1e-05,32.0,38.08955223880597,92,0.9266,0.005812057161168652,1,188.2
4,5,0.001,1e-05,32.0,41.198294243070364,98,0.9424,0.01042154740439281,0,199.1
4,6,0.001,1e-05,32.0,44.60127931769723,98,0.9323,0.012218461433478841,0,211.3
4,7,0.001,1e-05,32.17910447761194,44.17910447761194,104,0.9395,0.008710327020964496,1,210.3
4,8,0.001,1e-05,33.73987206823028,44.02558635394456,110,0.9544,0.01758130199449369,0,211.9
4,9,0.001,1e-05,37.21961620469083,44.0,116,0.9652,0.04061026131344816,0,216.4
4,10,0.001,1e-05,41.953091684434966,44.0,122,0.952,0.02162549631440822,0,223.6
