seed,epoch,train_tol,eval_tol,train_fwd_nfe,eval_fwd_nfe,recon_rel,recon_ok,train_acc,epoch_s
0,1,0.001,1e-05,25.28358208955224,80,0.0015243948437273502,1,0.4815833333333333,169.8
0,1,0.001,1e-06,25.28358208955224,140,0.0003682919777929783,1,0.4815833333333333,169.8
0,1,0.001,1e-07,25.28358208955224,386,0.00013165755080990493,1,0.4815833333333333,169.8
0,2,0.001,1e-05,26.01279317697228,86,0.003947076853364706,1,0.7755333333333333,198.4
0,2,0.001,1e-06,26.01279317697228,170,0.0006900742300786078,1,0.7755333333333333,198.4
0,2,0.001,1e-07,26.01279317697228,482,0.00022240808175411075,1,0.7755333333333333,198.4
0,3,0.001,1e-05,33.11300639658849,92,0.004550779704004526,1,0.8660666666666667,213.6
0,3,0.001,1e-06,33.11300639658849,182,0.0011755885789170861,1,0.8660666666666667,213.6
0,3,0.001,1e-07,33.11300639658849,542,0.0003891816595569253,1,0.8660666666666667,213.6
0,4,0.001,1e-05,37.69296375266524,98,0.013955788686871529,0,0.9023333333333333,232.2
0,4,0.001,1e-06,37.69296375266524,200,0.0018905356992036104,1,0.9023333333333333,232.2
0,4,0.001,1e-07,37.69296375266524,626,0.0011153729865327477,1,0.9023333333333333,232.2
0,5,0.001,1e-05,34.31556503198294,92,0.016256650909781456,0,0.9224333333333333,235.4
0,5,0.001,1e-06,34.31556503198294,206,0.0026292926631867886,1,0.9224333333333333,235.4
0,5,0.001,1e-07,34.31556503198294,662,0.00074635015334934,1,0.9224333333333333,235.4
0,6,0.001,1e-05,32.10234541577825,104,0.011344827711582184,0,0.9340166666666667,235.0
0,6,0.001,1e-06,32.10234541577825,206,0.0032126139849424362,1,0.9340166666666667,235.0
0,6,0.001,1e-07,32.10234541577825,704,0.0009568363311700523,1,0.9340166666666667,235.0
1,1,0.001,1e-05,27.266524520255864,92,0.0031791566871106625,1,0.4804333333333333,176.2
1,1,0.001,1e-06,27.266524520255864,164,0.0006404003361240029,1,0.4804333333333333,176.2
1,1,0.001,1e-07,27.266524520255864,398,0.00018737716891337186,1,0.4804333333333333,176.2
1,2,0.001,1e-05,36.349680170575695,104,0.004816326312720776,1,0.8088333333333333,234.0
1,2,0.001,1e-06,36.349680170575695,194,0.0010893663857132196,1,0.8088333333333333,234.0
1,2,0.001,1e-07,36.349680170575695,548,0.0004061126383021474,1,0.8088333333333333,234.0
1,3,0.001,1e-05,41.953091684434966,116,0.0076599763706326485,1,0.8814166666666666,248.1
1,3,0.001,1e-06,41.953091684434966,224,0.0015423708828166127,1,0.8814166666666666,248.1
1,3,0.001,1e-07,41.953091684434966,632,0.0006064710323698819,1,0.8814166666666666,248.1
1,4,0.001,1e-05,43.21961620469083,122,0.01116937305778265,0,0.9173666666666667,251.6
1,4,0.001,1e-06,43.21961620469083,230,0.0027122735045850277,1,0.9173666666666667,251.6
1,4,0.001,1e-07,43.21961620469083,686,0.001017131144180894,1,0.9173666666666667,251.6
1,5,0.001,1e-05,43.93603411513859,122,0.012429533526301384,0,0.93055,256.1
1,5,0.001,1e-06,43.93603411513859,242,0.002638267818838358,1,0.93055,256.1
1,5,0.001,1e-07,43.93603411513859,758,0.0012156582670286298,1,0.93055,256.1
1,6,0.001,1e-05,43.795309168443495,128,0.013034614734351635,0,0.9440333333333333,252.2
1,6,0.001,1e-06,43.795309168443495,248,0.005152373109012842,1,0.9440333333333333,252.2
1,6,0.001,1e-07,43.795309168443495,800,0.0014604856260120869,1,0.9440333333333333,252.2
2,1,0.001,1e-05,24.84861407249467,68,0.0018710059812292457,1,0.46828333333333333,165.5
2,1,0.001,1e-06,24.84861407249467,128,0.0003676725900731981,1,0.46828333333333333,165.5
2,1,0.001,1e-07,24.84861407249467,344,8.632185927126557e-05,1,0.46828333333333333,165.5
2,2,0.001,1e-05,26.53731343283582,92,0.0030830458272248507,1,0.7688,194.9
2,2,0.001,1e-06,26.53731343283582,170,0.0007146064890548587,1,0.7688,194.9
2,2,0.001,1e-07,26.53731343283582,494,0.00032690895022824407,1,0.7688,194.9
2,3,0.001,1e-05,37.347547974413644,98,0.004690337460488081,1,0.8771666666666667,218.3
2,3,0.001,1e-06,37.347547974413644,188,0.0010270454222336411,1,0.8771666666666667,218.3
2,3,0.001,1e-07,37.347547974413644,602,0.0005156922270543873,1,0.8771666666666667,218.3
2,4,0.001,1e-05,36.05543710021322,104,0.005945959128439426,1,0.9225,215.2
2,4,0.001,1e-06,36.05543710021322,212,0.0017077780794352293,1,0.9225,215.2
2,4,0.001,1e-07,36.05543710021322,674,0.0004915613099001348,1,0.9225,215.2
2,5,0.001,1e-05,33.40724946695096,110,0.00696762977167964,1,0.9414333333333333,211.7
2,5,0.001,1e-06,33.40724946695096,230,0.002357053104788065,1,0.9414333333333333,211.7
2,5,0.001,1e-07,33.40724946695096,776,0.0008366279653273523,1,0.9414333333333333,211.7
2,6,0.001,1e-05,36.59275053304904,122,0.007797934580594301,1,0.9534833333333333,216.1
2,6,0.001,1e-06,36.59275053304904,242,0.0016676908126100898,1,0.9534833333333333,216.1
2,6,0.001,1e-07,36.59275053304904,812,0.0005805703694932163,1,0.9534833333333333,216.1
3,1,0.001,1e-05,25.002132196162048,80,0.0034502067137509584,1,0.5014166666666666,149.6
3,1,0.001,1e-06,25.002132196162048,152,0.0007419255562126637,1,0.5014166666666666,149.6
3,1,0.001,1e-07,25.002132196162048,416,0.00024064548779278994,1,0.5014166666666666,149.6
3,2,0.001,1e-05,26.895522388059703,86,0.004165067803114653,1,0.81695,180.2
3,2,0.001,1e-06,26.895522388059703,164,0.0010999608784914017,1,0.81695,180.2
3,2,0.001,1e-07,26.895522388059703,494,0.0003649613936431706,1,0.81695,180.2
3,3,0.001,1e-05,37.846481876332625,92,0.005605996586382389,1,0.8841666666666667,197.2
3,3,0.001,1e-06,37.846481876332625,188,0.0011163391172885895,1,0.8841666666666667,197.2
3,3,0.001,1e-07,37.846481876332625,554,0.00044768216321244836,1,0.8841666666666667,197.2
3,4,0.001,1e-05,37.89765458422175,98,0.006944750901311636,1,0.9155,216.6
3,4,0.001,1e-06,37.89765458422175,200,0.0020818558987230062,1,0.9155,216.6
3,4,0.001,1e-07,37.89765458422175,638,0.0006875150138512254,1,0.9155,216.6
3,5,0.001,1e-05,36.24733475479744,104,0.011781612411141396,0,0.9321166666666667,223.7
3,5,0.001,1e-06,36.24733475479744,212,0.0022456494625657797,1,0.9321166666666667,223.7
3,5,0.001,1e-07,36.24733475479744,674,0.0008382159867323935,1,0.9321166666666667,223.7
3,6,0.001,1e-05,32.84434968017057,110,0.00942024402320385,1,0.94565,213.1
3,6,0.001,1e-06,32.84434968017057,224,0.0026776071172207594,1,0.94565,213.1
3,6,0.001,1e-07,32.84434968017057,722,0.0007833897252567112,1,0.94565,213.1
4,1,0.001,1e-05,24.643923240938165,74,0.0013516274048015475,1,0.4544166666666667,148.4
4,1,0.001,1e-06,24.643923240938165,134,0.00036859887768514454,1,0.4544166666666667,148.4
4,1,0.001,1e-07,24.643923240938165,374,0.00011629798973444849,1,0.4544166666666667,148.4
4,2,0.001,1e-05,26.217484008528785,80,0.0030260062776505947,1,0.7718166666666667,182.4
4,2,0.001,1e-06,26.217484008528785,158,0.0006264387047849596,1,0.7718166666666667,182.4
4,2,0.001,1e-07,26.217484008528785,476,0.00021948838548269123,1,0.7718166666666667,182.4
4,3,0.001,1e-05,31.756929637526653,80,0.004082866013050079,1,0.8499666666666666,190.5
4,3,0.001,1e-06,31.756929637526653,170,0.0008814848843030632,1,0.8499666666666666,190.5
4,3,0.001,1e-07,31.756929637526653,542,0.000384079001378268,1,0.8499666666666666,190.5
4,4,0.001,1e-05,32.0,86,0.004538543056696653,1,0.8878166666666667,188.9
4,4,0.001,1e-06,32.0,188,0.001502001890912652,1,0.8878166666666667,188.9
4,4,0.001,1e-07,32.0,596,0.0005188980721868575,1,0.8878166666666667,188.9
4,5,0.001,1e-05,32.0,98,0.006664724089205265,1,0.9091666666666667,189.5
4,5,0.001,1e-06,32.0,200,0.001414101687259972,1,0.9091666666666667,189.5
4,5,0.001,1e-07,32.0,626,0.0004832450649701059,1,0.9091666666666667,189.5
4,6,0.001,1e-05,32.0,92,0.007695233915001154,1,0.92635,198.6
4,6,0.001,1e-06,32.0,206,0.0011765152448788285,1,0.92635,198.6
4,6,0.001,1e-07,32.0,650,0.0005490247858688235,1,0.92635,198.6
