model,augment_dim,geometry,seed,epochs,width_over_pi,n_train_after_slice,n_slice_val,train_acc,train_loss,full_val_acc,full_val_loss,slice_val_acc,slice_val_loss,obs_val_acc,obs_val_loss,gen_gap_loss,fwd_nfe,recon_max,recon_ok,train_tol,eval_tol,hardware,wall_s
ANODE-p1,1,spheres,1,100,0.125,1124,202,1.0,7.9468327385257e-06,0.9990000128746033,0.0028656201902776957,1.0,1.340216726930521e-06,0.9989278316497803,0.003072405233979225,-6.606616011595179e-06,152.0,0.0003907769569195807,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,231.4
ANODE-p1,1,spheres,2,100,0.125,1126,200,1.0,5.293485094703954e-10,0.999666690826416,0.0005657704314216971,1.0,0.0,0.9996428489685059,0.0006061826134100556,-5.293485094703954e-10,164.0,0.0006902387831360102,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,249.1
ANODE-p1,1,spheres,3,100,0.125,1127,179,1.0,5.784849577139539e-07,1.0,1.312939730269136e-06,1.0,8.298000579998188e-07,1.0,1.3435964092423092e-06,2.513151002858649e-07,188.0,0.0004564578121062368,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,273.7
NODE,0,spheres,1,100,0.125,1124,202,1.0,2.510094600438606e-05,0.9976666569709778,0.012787812389433384,1.0,3.388161712791771e-05,0.9974982142448425,0.013708573766052723,8.780671123531647e-06,188.0,0.0008080604602582753,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,276.2
NODE,0,spheres,5,100,0.125,1115,202,1.0,5.3866398957325146e-05,0.999666690826416,0.0028605922125279903,1.0,7.173184712883085e-05,0.9996426105499268,0.0030619322787970304,1.7865448171505705e-05,164.0,0.0007796356803737581,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,278.9
NODE,0,spheres,8,100,0.125,1121,163,1.0,1.0593887054710649e-05,0.9756666421890259,0.27518537640571594,0.5766870975494385,4.907632350921631,0.9985900521278381,0.009027870371937752,4.907621757034576,206.0,0.0007962749805301428,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,291.4
NODE,0,spheres,9,100,0.125,1131,184,1.0,1.1609888133534696e-05,0.9756666421890259,0.32326826453208923,0.6086956262588501,5.253376483917236,0.9996448755264282,0.0011305642547085881,5.253364874029103,212.0,0.0007546897977590561,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,295.4
ANODE-p1,1,spheres,0,100,0.125,1111,195,1.0,2.6991897357220296e-06,1.0,2.9671268748643342e-06,1.0,9.353331620332028e-07,1.0,3.108374585281126e-06,-1.7638565736888268e-06,206.0,0.000587797665502876,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,302.3
NODE,0,spheres,3,100,0.125,1127,179,1.0,1.1965247722400818e-05,0.9890000224113464,0.09834522753953934,0.8156424760818481,1.6448514461517334,1.0,0.00021528238721657544,1.644839480904011,224.0,0.000740493182092905,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,317.6
NODE,0,spheres,0,100,0.125,1111,195,1.0,0.005159296095371246,0.9993333220481873,0.006214672699570656,1.0,0.006110303103923798,0.9992870092391968,0.00622192956507206,0.0009510070085525513,242.0,0.007868636399507523,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,377.1
ANODE-p1,1,spheres,5,100,0.125,1115,202,1.0,2.79232335742563e-06,0.9993333220481873,0.002089281100779772,1.0,3.068728119615116e-06,0.9992852210998535,0.002239893889054656,2.7640476218948606e-07,140.0,0.000606038433033973,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,199.3
ANODE-p1,1,spheres,7,100,0.125,1128,170,1.0,1.1625018725425207e-09,1.0,1.5457393587325896e-08,1.0,0.0,1.0,1.6385929058060356e-08,-1.1625018725425207e-09,152.0,0.0004578102962113917,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,220.5
ANODE-p1,1,spheres,4,100,0.125,1112,183,1.0,2.5471200615356793e-07,0.9983333349227905,0.008923633955419064,1.0,1.595308049218147e-06,0.9982250332832336,0.009503234177827835,1.3405960430645791e-06,206.0,0.0004061312065459788,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,285.6
ANODE-p2,2,spheres,2,100,0.125,1126,200,1.0,7.245703272928949e-07,1.0,8.606344636064023e-06,1.0,5.459779117700236e-07,1.0,9.182085705106147e-06,-1.785924155228713e-07,152.0,0.0005951707134954631,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,218.2
NODE,0,spheres,2,100,0.125,1126,200,1.0,0.0027800246607512236,0.996666669845581,0.0183019507676363,1.0,0.0018358118832111359,0.9964285492897034,0.019478103145956993,-0.0009442127775400877,290.0,0.0021328541915863752,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,546.3
ANODE-p1,1,spheres,9,100,0.125,1131,184,1.0,7.082988418005698e-08,1.0,7.470441687473794e-08,1.0,3.887258959167639e-09,1.0,7.933167012197373e-08,-6.694262522088934e-08,182.0,0.0003816221433226019,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,265.7
ANODE-p1,1,spheres,6,100,0.125,1145,157,1.0,5.907226295676082e-06,1.0,6.3474544731434435e-06,1.0,2.94217807095265e-06,1.0,6.535505690408172e-06,-2.9650482247234322e-06,200.0,0.0008758245967328548,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,290.5
ANODE-p1,1,spheres,8,100,0.125,1121,163,1.0,7.61724436415534e-07,1.0,7.14418774805381e-07,1.0,1.3895559902721288e-07,1.0,7.474819767594454e-07,-6.227688373883211e-07,200.0,0.0005805783439427614,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,287.7
ANODE-p2,2,spheres,0,100,0.125,1111,195,1.0,1.062260768236456e-08,1.0,7.036842220031758e-08,1.0,3.056648267829587e-09,1.0,7.504785060064023e-08,-7.565959414534973e-09,194.0,0.0003697883803397417,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,275.5
ANODE-p2,2,spheres,1,100,0.125,1124,202,1.0,5.34318871814321e-07,0.9983333349227905,0.005460542626678944,0.9950494766235352,0.01680474914610386,0.9985703825950623,0.0046415552496910095,0.016804214827232045,206.0,0.0016165911220014095,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,286.8
NODE,0,spheres,7,100,0.125,1128,170,1.0,0.0023747289087623358,0.9953333139419556,0.06538887321949005,0.929411768913269,0.7973245978355408,0.9992932677268982,0.021421002224087715,0.7949498689267784,314.0,0.0033481759019196033,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,701.3
ANODE-p2,2,spheres,3,100,0.125,1127,179,1.0,1.4157975556372548e-06,1.0,1.6202366168727167e-06,1.0,6.2194321799324825e-06,1.0,1.3284054602991091e-06,4.803634624295228e-06,230.0,0.01203510444611311,0,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,328.9
ANODE-p2,2,spheres,7,100,0.125,1128,170,1.0,3.548793188201671e-07,1.0,3.7014402209933905e-07,1.0,2.454306979871035e-07,1.0,3.776356720663898e-07,-1.0944862083306361e-07,140.0,0.0004492971347644925,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,196.3
ANODE-p2,2,spheres,4,100,0.125,1112,183,1.0,5.0385202676750396e-09,0.9986666440963745,0.010834298096597195,1.0,0.0,0.9985800385475159,0.011538123711943626,-5.0385202676750396e-09,188.0,0.0004000139597337693,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,286.7
ANODE-p2,2,spheres,5,100,0.125,1115,202,1.0,5.834298235640745e-07,1.0,6.843195023975568e-06,1.0,3.5998823477711994e-07,1.0,7.311246463359566e-06,-2.2344158878695453e-07,170.0,0.0005099927075207233,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,247.4
ANODE-p2,2,spheres,9,100,0.125,1131,184,1.0,1.5099689107955783e-06,1.0,3.256846184740425e-06,1.0,2.6044611445286137e-07,1.0,3.4526337913121097e-06,-1.249522796342717e-06,122.0,0.0005048711900599301,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,190.8
ANODE-p3,3,spheres,0,100,0.125,1111,195,1.0,1.4699651273986092e-07,0.999666690826416,0.00038168844184838235,1.0,4.768370232000052e-08,0.9996435046195984,0.0004082196101080626,-9.93128104198604e-08,134.0,0.0006220309878699481,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,202.2
ANODE-p3,3,spheres,2,100,0.125,1126,200,1.0,2.6935555069940165e-05,1.0,2.2954396627028473e-05,1.0,2.4205059162341058e-05,1.0,2.2865066057420336e-05,-2.7304959075991064e-06,128.0,0.0004985937266610563,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,201.7
NODE,0,spheres,4,100,0.125,1112,183,0.9973021745681763,0.026843516156077385,0.9926666617393494,0.045108307152986526,0.9234972596168518,0.27187269926071167,0.9971600770950317,0.030377071350812912,0.24502918310463428,248.0,0.0030659690964967012,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,778.8
ANODE-p2,2,spheres,6,100,0.125,1145,157,1.0,8.142195611071656e-07,1.0,0.00010428520909044892,1.0,0.0019809079822152853,1.0,6.518006898659223e-07,0.001980093762654178,182.0,0.0013737801928073168,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,271.5
ANODE-p2,2,spheres,8,100,0.125,1121,163,1.0,3.285964567112387e-08,1.0,3.282228178136393e-08,1.0,0.0,1.0,3.470809062378066e-08,-3.285964567112387e-08,182.0,0.000366427528206259,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,267.6
ANODE-p3,3,spheres,1,100,0.125,1124,202,1.0,1.8029873150027242e-09,0.9993333220481873,0.0027796770446002483,1.0,0.0,0.9992852210998535,0.002980354242026806,-1.8029873150027242e-09,212.0,0.0010449138935655355,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,285.7
