model,augment_dim,geometry,seed,epochs,width_over_pi,n_train_after_slice,n_slice_val,train_acc,train_loss,full_val_acc,full_val_loss,slice_val_acc,slice_val_loss,gen_gap_loss,fwd_nfe,recon_max,recon_ok,train_tol,eval_tol
NODE,0,spheres,0,100,0.2,1069,287,1.0,6.430933808587724e-06,0.9629999995231628,0.7175379991531372,0.6132404208183289,7.498092174530029,7.498085743596221,218.0,0.0007166696595959365,1,1e-06,1e-06
NODE,0,spheres,1,100,0.2,1087,320,1.0,3.2349314551538555e-06,0.9470000267028809,0.9228766560554504,0.518750011920929,8.402246475219727,8.402243240288271,224.0,0.0006116550066508353,1,1e-06,1e-06
NODE,0,spheres,2,100,0.2,1092,315,0.877289354801178,0.3204169273376465,0.8946666717529297,0.2758040428161621,0.920634925365448,0.4115108847618103,0.09109395742416382,476.0,0.004272301681339741,1,1e-06,1e-06
NODE,0,spheres,3,100,0.2,1084,278,1.0,3.852742793242214e-06,0.9646666646003723,0.5643137097358704,0.6187050342559814,6.089211463928223,6.089207611185429,200.0,0.0011672230903059244,1,1e-06,1e-06
NODE,0,spheres,4,100,0.2,1072,291,1.0,0.0018851652275770903,0.9980000257492065,0.013890520669519901,1.0,0.0015250960132107139,-0.0003600692143663764,260.0,0.006684162653982639,1,1e-06,1e-06
ANODE-p1,1,spheres,0,100,0.2,1069,287,1.0,2.8385381938278442e-06,1.0,6.851011676189955e-06,1.0,2.4340289428437245e-07,-2.5951352995434718e-06,206.0,0.0005424036062322557,1,1e-06,1e-06
ANODE-p1,1,spheres,1,100,0.2,1087,320,1.0,8.203164014730646e-08,1.0,1.6769836292951368e-06,1.0,0.0,-8.203164014730646e-08,182.0,0.0006578714237548411,1,1e-06,1e-06
ANODE-p1,1,spheres,2,100,0.2,1092,315,1.0,0.0,0.999666690826416,0.0015357265947386622,1.0,2.637633826907404e-07,2.637633826907404e-07,164.0,0.00043790240306407213,1,1e-06,1e-06
ANODE-p1,1,spheres,3,100,0.2,1084,278,1.0,6.410213018170907e-07,0.996666669845581,0.009916679002344608,0.9748201370239258,0.0692356675863266,0.06923502656502478,194.0,0.00077801727456972,1,1e-06,1e-06
ANODE-p1,1,spheres,4,100,0.2,1072,291,1.0,1.2354584555396286e-07,0.999666690826416,0.0003330803301651031,1.0,3.3140921118501865e-07,2.0786336563105579e-07,194.0,0.0014509691391140223,1,1e-06,1e-06
